timestep,neighbor,flow_mw,direction,cost_eur
t0001,NO1,-2145.0,export,-131638.65
t0001,NO3,1000.0,import,24220.0
t0001,NO4,600.0,import,4290.0
t0001,FI,-1500.0,export,-88620.0
t0001,DK1,-740.0,export,-71232.4
t0001,DK2,-1700.0,export,-167790.0
t0001,PL,-600.0,export,-84804.0
t0001,LT,-700.0,export,-75467.0
t0001,DE,-615.0,export,-69648.75
t0002,NO1,-2145.0,export,-131638.65
t0002,NO3,1000.0,import,24220.0
t0002,NO4,600.0,import,4290.0
t0002,FI,-1500.0,export,-88620.0
t0002,DK1,-740.0,export,-71232.4
t0002,DK2,-1700.0,export,-167790.0
t0002,PL,-600.0,export,-84804.0
t0002,LT,-700.0,export,-75467.0
t0002,DE,-615.0,export,-69648.75
t0003,NO1,-2145.0,export,-131638.65
t0003,NO3,1000.0,import,24220.0
t0003,NO4,600.0,import,4290.0
t0003,FI,-1500.0,export,-88620.0
t0003,DK1,-740.0,export,-71232.4
t0003,DK2,-1700.0,export,-167790.0
t0003,PL,-600.0,export,-84804.0
t0003,LT,-700.0,export,-75467.0
t0003,DE,-615.0,export,-69648.75
t0004,NO1,-2145.0,export,-131638.65
t0004,NO3,1000.0,import,24220.0
t0004,NO4,600.0,import,4290.0
t0004,FI,-1500.0,export,-88620.0
t0004,DK1,-740.0,export,-71232.4
t0004,DK2,-1700.0,export,-167790.0
t0004,PL,-600.0,export,-84804.0
t0004,LT,-700.0,export,-75467.0
t0004,DE,-615.0,export,-69648.75
t0005,NO1,-2145.0,export,-131638.65
t0005,NO3,1000.0,import,24220.0
t0005,NO4,600.0,import,4290.0
t0005,FI,-1500.0,export,-88620.0
t0005,DK1,-740.0,export,-71232.4
t0005,DK2,-1700.0,export,-167790.0
t0005,PL,-600.0,export,-84804.0
t0005,LT,-700.0,export,-75467.0
t0005,DE,-615.0,export,-69648.75
t0006,NO1,-2145.0,export,-131638.65
t0006,NO3,1000.0,import,24220.0
t0006,NO4,600.0,import,4290.0
t0006,FI,-1500.0,export,-88620.0
t0006,DK1,-740.0,export,-71232.4
t0006,DK2,-1700.0,export,-167790.0
t0006,PL,-600.0,export,-84804.0
t0006,LT,-700.0,export,-75467.0
t0006,DE,-615.0,export,-69648.75
t0007,NO1,-1136.28,export,-69733.59
t0007,NO3,964.19,import,23352.57
t0007,NO4,600.0,import,4290.0
t0007,FI,-1500.0,export,-88620.0
t0007,DK1,-740.0,export,-71232.4
t0007,DK2,-1700.0,export,-167790.0
t0007,PL,-600.0,export,-84804.0
t0007,LT,-700.0,export,-75467.0
t0007,DE,-615.0,export,-69648.75
t0008,NO1,-569.75,export,-34965.51
t0008,NO3,1000.0,import,24220.0
t0008,NO4,600.0,import,4290.0
t0008,FI,-1500.0,export,-88620.0
t0008,DK1,-740.0,export,-71232.4
t0008,DK2,-1700.0,export,-167790.0
t0008,PL,-600.0,export,-84804.0
t0008,LT,-700.0,export,-75467.0
t0008,DE,-615.0,export,-69648.75
t0009,NO1,-584.66,export,-35880.57
t0009,NO3,1000.0,import,24220.0
t0009,NO4,600.0,import,4290.0
t0009,FI,-1500.0,export,-88620.0
t0009,DK1,-740.0,export,-71232.4
t0009,DK2,-1700.0,export,-167790.0
t0009,PL,-600.0,export,-84804.0
t0009,LT,-700.0,export,-75467.0
t0009,DE,-615.0,export,-69648.75
t0010,NO1,-368.85,export,-22636.17
t0010,NO3,1000.0,import,24220.0
t0010,NO4,600.0,import,4290.0
t0010,FI,-1500.0,export,-88620.0
t0010,DK1,-740.0,export,-71232.4
t0010,DK2,-1700.0,export,-167790.0
t0010,PL,-600.0,export,-84804.0
t0010,LT,-700.0,export,-75467.0
t0010,DE,-615.0,export,-69648.75
t0011,NO1,-214.7,export,-13175.93
t0011,NO3,1000.0,import,24220.0
t0011,NO4,600.0,import,4290.0
t0011,FI,-1484.52,export,-87705.54
t0011,DK1,-740.0,export,-71232.4
t0011,DK2,-1700.0,export,-167790.0
t0011,PL,-600.0,export,-84804.0
t0011,LT,-700.0,export,-75467.0
t0011,DE,-615.0,export,-69648.75
t0012,NO1,76.96,import,4723.21
t0012,NO3,1000.0,import,24220.0
t0012,NO4,600.0,import,4290.0
t0012,FI,-1500.0,export,-88620.0
t0012,DK1,-740.0,export,-71232.4
t0012,DK2,-1700.0,export,-167790.0
t0012,PL,-600.0,export,-84804.0
t0012,LT,-700.0,export,-75467.0
t0012,DE,-615.0,export,-69648.75
t0013,NO1,18.72,import,1148.74
t0013,NO3,1000.0,import,24220.0
t0013,NO4,600.0,import,4290.0
t0013,FI,-1500.0,export,-88620.0
t0013,DK1,-740.0,export,-71232.4
t0013,DK2,-1700.0,export,-167790.0
t0013,PL,-600.0,export,-84804.0
t0013,LT,-700.0,export,-75467.0
t0013,DE,-615.0,export,-69648.75
t0014,NO1,-7.42,export,-455.21
t0014,NO3,1000.0,import,24220.0
t0014,NO4,600.0,import,4290.0
t0014,FI,-1500.0,export,-88620.0
t0014,DK1,-740.0,export,-71232.4
t0014,DK2,-1700.0,export,-167790.0
t0014,PL,-600.0,export,-84804.0
t0014,LT,-700.0,export,-75467.0
t0014,DE,-615.0,export,-69648.75
t0015,NO1,267.98,import,16445.71
t0015,NO3,1000.0,import,24220.0
t0015,NO4,600.0,import,4290.0
t0015,FI,-1487.63,export,-87889.1
t0015,DK1,-740.0,export,-71232.4
t0015,DK2,-1700.0,export,-167790.0
t0015,PL,-600.0,export,-84804.0
t0015,LT,-700.0,export,-75467.0
t0015,DE,-615.0,export,-69648.75
t0016,NO1,87.89,import,5393.7
t0016,NO3,1000.0,import,24220.0
t0016,NO4,600.0,import,4290.0
t0016,FI,-1390.01,export,-82121.9
t0016,DK1,-740.0,export,-71232.4
t0016,DK2,-1700.0,export,-167790.0
t0016,PL,-600.0,export,-84804.0
t0016,LT,-700.0,export,-75467.0
t0016,DE,-615.0,export,-69648.75
t0017,NO1,-202.84,export,-12448.0
t0017,NO3,1000.0,import,24220.0
t0017,NO4,600.0,import,4290.0
t0017,FI,-897.94,export,-53050.25
t0017,DK1,-740.0,export,-71232.4
t0017,DK2,-1700.0,export,-167790.0
t0017,PL,-600.0,export,-84804.0
t0017,LT,-700.0,export,-75467.0
t0017,DE,-615.0,export,-69648.75
t0018,NO1,-733.0,export,-44984.26
t0018,NO3,1000.0,import,24220.0
t0018,NO4,600.0,import,4290.0
t0018,FI,-1147.92,export,-67818.83
t0018,DK1,-740.0,export,-71232.4
t0018,DK2,-1700.0,export,-167790.0
t0018,PL,-600.0,export,-84804.0
t0018,LT,-700.0,export,-75467.0
t0018,DE,-615.0,export,-69648.75
t0019,NO1,-1431.98,export,-87880.86
t0019,NO3,1000.0,import,24220.0
t0019,NO4,600.0,import,4290.0
t0019,FI,-1438.74,export,-85000.76
t0019,DK1,-740.0,export,-71232.4
t0019,DK2,-1700.0,export,-167790.0
t0019,PL,-600.0,export,-84804.0
t0019,LT,-700.0,export,-75467.0
t0019,DE,-615.0,export,-69648.75
t0020,NO1,-2061.17,export,-126493.89
t0020,NO3,1000.0,import,24220.0
t0020,NO4,600.0,import,4290.0
t0020,FI,-1500.0,export,-88620.0
t0020,DK1,-740.0,export,-71232.4
t0020,DK2,-1700.0,export,-167790.0
t0020,PL,-600.0,export,-84804.0
t0020,LT,-700.0,export,-75467.0
t0020,DE,-615.0,export,-69648.75
t0021,NO1,-2145.0,export,-131638.65
t0021,NO3,1000.0,import,24220.0
t0021,NO4,600.0,import,4290.0
t0021,FI,-1500.0,export,-88620.0
t0021,DK1,-740.0,export,-71232.4
t0021,DK2,-1700.0,export,-167790.0
t0021,PL,-600.0,export,-84804.0
t0021,LT,-700.0,export,-75467.0
t0021,DE,-615.0,export,-69648.75
t0022,NO1,-2145.0,export,-131638.65
t0022,NO3,602.35,import,14588.94
t0022,NO4,600.0,import,4290.0
t0022,FI,-1500.0,export,-88620.0
t0022,DK1,-740.0,export,-71232.4
t0022,DK2,-1700.0,export,-167790.0
t0022,PL,-600.0,export,-84804.0
t0022,LT,-700.0,export,-75467.0
t0022,DE,-615.0,export,-69648.75
t0023,NO1,-2145.0,export,-131638.65
t0023,NO3,324.58,import,7861.21
t0023,NO4,600.0,import,4290.0
t0023,FI,-1500.0,export,-88620.0
t0023,DK1,-740.0,export,-71232.4
t0023,DK2,-1700.0,export,-167790.0
t0023,PL,-600.0,export,-84804.0
t0023,LT,-700.0,export,-75467.0
t0023,DE,-615.0,export,-69648.75
t0024,NO1,-2145.0,export,-131638.65
t0024,NO3,334.28,import,8096.17
t0024,NO4,600.0,import,4290.0
t0024,FI,-1500.0,export,-88620.0
t0024,DK1,-740.0,export,-71232.4
t0024,DK2,-1700.0,export,-167790.0
t0024,PL,-600.0,export,-84804.0
t0024,LT,-700.0,export,-75467.0
t0024,DE,-615.0,export,-69648.75
t0025,NO1,-2145.0,export,-131638.65
t0025,NO3,-56.11,export,-1358.94
t0025,NO4,600.0,import,4290.0
t0025,FI,-1500.0,export,-88620.0
t0025,DK1,-740.0,export,-71232.4
t0025,DK2,-1700.0,export,-167790.0
t0025,PL,-600.0,export,-84804.0
t0025,LT,-700.0,export,-75467.0
t0025,DE,-615.0,export,-69648.75
t0026,NO1,-2145.0,export,-131638.65
t0026,NO3,-205.83,export,-4985.1
t0026,NO4,600.0,import,4290.0
t0026,FI,-1500.0,export,-88620.0
t0026,DK1,-740.0,export,-71232.4
t0026,DK2,-1700.0,export,-167790.0
t0026,PL,-600.0,export,-84804.0
t0026,LT,-700.0,export,-75467.0
t0026,DE,-615.0,export,-69648.75
t0027,NO1,-2145.0,export,-131638.65
t0027,NO3,-463.66,export,-11229.73
t0027,NO4,600.0,import,4290.0
t0027,FI,-1500.0,export,-88620.0
t0027,DK1,-740.0,export,-71232.4
t0027,DK2,-1700.0,export,-167790.0
t0027,PL,-600.0,export,-84804.0
t0027,LT,-700.0,export,-75467.0
t0027,DE,-615.0,export,-69648.75
t0028,NO1,-2145.0,export,-131638.65
t0028,NO3,-920.58,export,-22296.49
t0028,NO4,600.0,import,4290.0
t0028,FI,-1500.0,export,-88620.0
t0028,DK1,-740.0,export,-71232.4
t0028,DK2,-1700.0,export,-167790.0
t0028,PL,-600.0,export,-84804.0
t0028,LT,-700.0,export,-75467.0
t0028,DE,-615.0,export,-69648.75
t0029,NO1,-2145.0,export,-131638.65
t0029,NO3,-686.59,export,-16629.1
t0029,NO4,600.0,import,4290.0
t0029,FI,-1500.0,export,-88620.0
t0029,DK1,-740.0,export,-71232.4
t0029,DK2,-1700.0,export,-167790.0
t0029,PL,-600.0,export,-84804.0
t0029,LT,-700.0,export,-75467.0
t0029,DE,-615.0,export,-69648.75
t0030,NO1,-2145.0,export,-131638.65
t0030,NO3,214.57,import,5196.84
t0030,NO4,600.0,import,4290.0
t0030,FI,-1500.0,export,-88620.0
t0030,DK1,-740.0,export,-71232.4
t0030,DK2,-1700.0,export,-167790.0
t0030,PL,-600.0,export,-84804.0
t0030,LT,-700.0,export,-75467.0
t0030,DE,-615.0,export,-69648.75
t0031,NO1,-1217.94,export,-74744.87
t0031,NO3,302.89,import,7335.9
t0031,NO4,600.0,import,4290.0
t0031,FI,-1500.0,export,-88620.0
t0031,DK1,-740.0,export,-71232.4
t0031,DK2,-1700.0,export,-167790.0
t0031,PL,-600.0,export,-84804.0
t0031,LT,-700.0,export,-75467.0
t0031,DE,-615.0,export,-69648.75
t0032,NO1,-1065.23,export,-65372.97
t0032,NO3,-128.75,export,-3118.29
t0032,NO4,600.0,import,4290.0
t0032,FI,-1500.0,export,-88620.0
t0032,DK1,-740.0,export,-71232.4
t0032,DK2,-1700.0,export,-167790.0
t0032,PL,-600.0,export,-84804.0
t0032,LT,-700.0,export,-75467.0
t0032,DE,-615.0,export,-69648.75
t0033,NO1,-1171.11,export,-71870.98
t0033,NO3,-145.25,export,-3517.88
t0033,NO4,600.0,import,4290.0
t0033,FI,-1500.0,export,-88620.0
t0033,DK1,-740.0,export,-71232.4
t0033,DK2,-1700.0,export,-167790.0
t0033,PL,-600.0,export,-84804.0
t0033,LT,-700.0,export,-75467.0
t0033,DE,-615.0,export,-69648.75
t0034,NO1,-1181.47,export,-72506.51
t0034,NO3,-32.05,export,-776.22
t0034,NO4,600.0,import,4290.0
t0034,FI,-1500.0,export,-88620.0
t0034,DK1,-740.0,export,-71232.4
t0034,DK2,-1700.0,export,-167790.0
t0034,PL,-600.0,export,-84804.0
t0034,LT,-700.0,export,-75467.0
t0034,DE,-615.0,export,-69648.75
t0035,NO1,-1024.62,export,-62881.14
t0035,NO3,333.48,import,8076.85
t0035,NO4,600.0,import,4290.0
t0035,FI,-1500.0,export,-88620.0
t0035,DK1,-740.0,export,-71232.4
t0035,DK2,-1700.0,export,-167790.0
t0035,PL,-600.0,export,-84804.0
t0035,LT,-700.0,export,-75467.0
t0035,DE,-615.0,export,-69648.75
t0036,NO1,-1034.33,export,-63476.57
t0036,NO3,869.83,import,21067.35
t0036,NO4,600.0,import,4290.0
t0036,FI,-1500.0,export,-88620.0
t0036,DK1,-740.0,export,-71232.4
t0036,DK2,-1700.0,export,-167790.0
t0036,PL,-600.0,export,-84804.0
t0036,LT,-700.0,export,-75467.0
t0036,DE,-615.0,export,-69648.75
t0037,NO1,-909.04,export,-55787.52
t0037,NO3,497.47,import,12048.75
t0037,NO4,600.0,import,4290.0
t0037,FI,-1500.0,export,-88620.0
t0037,DK1,-740.0,export,-71232.4
t0037,DK2,-1700.0,export,-167790.0
t0037,PL,-600.0,export,-84804.0
t0037,LT,-700.0,export,-75467.0
t0037,DE,-615.0,export,-69648.75
t0038,NO1,-500.2,export,-30697.48
t0038,NO3,431.54,import,10451.98
t0038,NO4,600.0,import,4290.0
t0038,FI,-1500.0,export,-88620.0
t0038,DK1,-740.0,export,-71232.4
t0038,DK2,-1700.0,export,-167790.0
t0038,PL,-600.0,export,-84804.0
t0038,LT,-700.0,export,-75467.0
t0038,DE,-615.0,export,-69648.75
t0039,NO1,46.7,import,2866.19
t0039,NO3,42.3,import,1024.53
t0039,NO4,600.0,import,4290.0
t0039,FI,-1500.0,export,-88620.0
t0039,DK1,-740.0,export,-71232.4
t0039,DK2,-1700.0,export,-167790.0
t0039,PL,-600.0,export,-84804.0
t0039,LT,-700.0,export,-75467.0
t0039,DE,-615.0,export,-69648.75
t0040,NO1,150.79,import,9253.95
t0040,NO3,-120.17,export,-2910.57
t0040,NO4,600.0,import,4290.0
t0040,FI,-1500.0,export,-88620.0
t0040,DK1,-740.0,export,-71232.4
t0040,DK2,-1700.0,export,-167790.0
t0040,PL,-600.0,export,-84804.0
t0040,LT,-700.0,export,-75467.0
t0040,DE,-615.0,export,-69648.75
t0041,NO1,224.98,import,13806.81
t0041,NO3,59.34,import,1437.23
t0041,NO4,600.0,import,4290.0
t0041,FI,-1500.0,export,-88620.0
t0041,DK1,-740.0,export,-71232.4
t0041,DK2,-1700.0,export,-167790.0
t0041,PL,-600.0,export,-84804.0
t0041,LT,-700.0,export,-75467.0
t0041,DE,-615.0,export,-69648.75
t0042,NO1,151.66,import,9307.63
t0042,NO3,56.68,import,1372.89
t0042,NO4,600.0,import,4290.0
t0042,FI,-1500.0,export,-88620.0
t0042,DK1,-740.0,export,-71232.4
t0042,DK2,-1700.0,export,-167790.0
t0042,PL,-600.0,export,-84804.0
t0042,LT,-700.0,export,-75467.0
t0042,DE,-615.0,export,-69648.75
t0043,NO1,173.71,import,10660.46
t0043,NO3,-124.96,export,-3026.42
t0043,NO4,600.0,import,4290.0
t0043,FI,-1500.0,export,-88620.0
t0043,DK1,-740.0,export,-71232.4
t0043,DK2,-1700.0,export,-167790.0
t0043,PL,-600.0,export,-84804.0
t0043,LT,-700.0,export,-75467.0
t0043,DE,-615.0,export,-69648.75
t0044,NO1,-17.66,export,-1083.89
t0044,NO3,-29.55,export,-715.69
t0044,NO4,600.0,import,4290.0
t0044,FI,-1500.0,export,-88620.0
t0044,DK1,-740.0,export,-71232.4
t0044,DK2,-1700.0,export,-167790.0
t0044,PL,-600.0,export,-84804.0
t0044,LT,-700.0,export,-75467.0
t0044,DE,-615.0,export,-69648.75
t0045,NO1,-376.19,export,-23086.85
t0045,NO3,-23.78,export,-575.84
t0045,NO4,600.0,import,4290.0
t0045,FI,-1500.0,export,-88620.0
t0045,DK1,-740.0,export,-71232.4
t0045,DK2,-1700.0,export,-167790.0
t0045,PL,-600.0,export,-84804.0
t0045,LT,-700.0,export,-75467.0
t0045,DE,-615.0,export,-69648.75
t0046,NO1,-909.35,export,-55806.81
t0046,NO3,210.76,import,5104.49
t0046,NO4,600.0,import,4290.0
t0046,FI,-1500.0,export,-88620.0
t0046,DK1,-740.0,export,-71232.4
t0046,DK2,-1700.0,export,-167790.0
t0046,PL,-600.0,export,-84804.0
t0046,LT,-700.0,export,-75467.0
t0046,DE,-615.0,export,-69648.75
t0047,NO1,-1002.64,export,-61532.11
t0047,NO3,538.28,import,13037.18
t0047,NO4,600.0,import,4290.0
t0047,FI,-1500.0,export,-88620.0
t0047,DK1,-740.0,export,-71232.4
t0047,DK2,-1700.0,export,-167790.0
t0047,PL,-600.0,export,-84804.0
t0047,LT,-700.0,export,-75467.0
t0047,DE,-615.0,export,-69648.75
